SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,% POPULATION,CHILDREN_0_9,% CHILDREN,ADOLESCENT_10_19,% ADOLESCENT,ADULT_20_34,,SENIOR_35_59,,ELDERLY_60_ABOVE,,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
BDSZ03,KEMBANGAN,BEDOK,38980,100,2980,7.64,3760,9.65,8400,21.55,14320,36.74,9520,24.42,37158.7015,34115.9683,6785.111707,2387277.532
BDSZ04,BEDOK NORTH,BEDOK,84410,100,6620,7.84,8610,10.20,16420,19.45,32560,38.57,20200,23.93,39429.2104,34737.6194,8414.962102,3203663.493
BDSZ05,FRANKEL,BEDOK,33730,100,3610,10.70,3770,11.18,5870,17.40,13370,39.64,7110,21.08,37694.5519,33007.2679,8750.386291,4297140.714
BDSZ06,BEDOK SOUTH,BEDOK,49860,100,4070,8.16,5190,10.41,9740,19.53,18410,36.92,12450,24.97,40379.4208,33744.2238,7811.589025,2997307.459
BDSZ07,SIGLAP,BEDOK,6780,100,450,6.64,640,9.44,1220,17.99,2500,36.87,1970,29.06,38435.4679,32101.8812,5436.890533,1097833.703
BDSZ08,BAYSHORE,BEDOK,7390,100,910,12.31,860,11.64,1080,14.61,3410,46.14,1130,15.29,40835.377,32903.5965,8698.596958,2550461.673
BKSZ01,GOMBAK,BUKIT BATOK,9940,100,1190,11.97,1060,10.66,1950,19.62,3890,39.13,1850,18.61,19560.7028,39034.544,7921.557211,2459098.265
BKSZ02,HONG KAH NORTH,BUKIT BATOK,27880,100,2270,8.14,3200,11.48,6300,22.60,11160,40.03,4950,17.75,18505.4653,38307.4684,3842.99403,859179.1801
BKSZ03,BRICKWORKS,BUKIT BATOK,0,0,0,0,0,0,0,0,0,0,0,0,17861.6364,37527.3344,4392.362215,1225673.649
BKSZ04,GUILIN,BUKIT BATOK,13320,100,1170,8.78,1600,12.01,2720,20.42,5530,41.52,2300,17.27,19151.8276,37505.9793,5564.333231,1085080.083
BKSZ05,HILLVIEW,BUKIT BATOK,18300,100,1420,7.76,2650,14.48,3620,19.78,7590,41.48,3020,16.50,20276.6529,37526.4582,6673.934004,1990788.397
BKSZ06,BUKIT BATOK WEST,BUKIT BATOK,14930,100,1270,8.51,1740,11.65,3160,21.17,5870,39.32,2890,19.36,17865.8838,36623.2134,3414.799428,526383.3528
BKSZ07,BUKIT BATOK CENTRAL,BUKIT BATOK,25720,100,2220,8.63,2930,11.39,5580,21.70,9970,38.76,5020,19.52,18773.5578,36680.0524,3782.826959,800298.5645
BKSZ08,BUKIT BATOK EAST,BUKIT BATOK,14270,100,1050,7.36,1510,10.58,3130,21.93,5690,39.87,2890,20.25,19566.3613,36806.3015,2619.552372,380201.8028
BKSZ09,BUKIT BATOK SOUTH,BUKIT BATOK,13740,100,1100,8.01,1860,13.54,3270,23.80,5500,40.03,2010,14.63,19631.873,35910.9635,6998.805924,1806553.076
BLSZ01,TUKANG,BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,14192.4654,34209.5506,6899.999456,1881305.829
BLSZ02,LIU FANG,BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,14079.1004,33391.5623,7135.442501,2338909.489
BLSZ03,SAMULUN,BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,13418.4922,32264.5933,8738.679385,1940693.424
BLSZ04,SHIPYARD,BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,11970.1428,32202.3854,6422.042112,2118499.409
BMSZ01,MARITIME SQUARE,BUKIT MERAH,2650,100,370,13.96,240,9.06,400,15.09,1320,49.81,320,12.08,25805.7867,27911.4193,13737.11618,2701634.34
BMSZ02,BUKIT MERAH,BUKIT MERAH,1160,100,90,7.76,120,10.34,210,18.10,420,36.21,320,27.59,26360.799,29384.1429,3074.963235,411722.8226
BMSZ03,REDHILL,BUKIT MERAH,12090,100,1500,12.41,1060,8.77,2020,16.71,4920,40.69,2590,21.42,26201.958,30005.7035,2825.594099,387429.44
BMSZ04,TIONG BAHRU STATION,BUKIT MERAH,16350,100,1840,11.25,1540,9.42,2990,18.29,6420,39.27,3560,21.77,27277.4698,29607.0237,2506.687919,350787.5614
BMSZ05,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,0,0,0,0,0,0,0,0,0,0,0,0,28147.221,29131.0368,2915.282048,533017.3907
BMSZ06,ALEXANDRA NORTH,BUKIT MERAH,1030,100,130,12.62,110,10.68,190,18.45,490,47.57,110,10.68,26548.2507,30519.3922,2907.051461,293706.3988
BMSZ07,ALEXANDRA HILL,BUKIT MERAH,15370,100,1190,7.74,1530,9.95,2900,18.87,5460,35.52,4290,27.91,25358.8208,29991.3842,4428.913436,1030378.786
BMSZ08,HENDERSON HILL,BUKIT MERAH,12260,100,1020,8.32,1130,9.22,2140,17.46,4430,36.13,3540,28.87,26782.8261,29933.7651,3313.624904,595428.886
BMSZ09,BUKIT HO SWEE,BUKIT MERAH,16060,100,1400,8.72,1200,7.47,2930,18.24,5890,36.67,4640,28.89,27680.0627,30230.861,3275.312488,551732.0495
