SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,CHILDREN_0_9,ADOLESCENT_10_19,ADULT_20_34,SENIOR_35_59,ELDERLY_60_ABOVE,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
OTSZ01,PEARL'S HILL,OUTRAM,8050,580,580,1190,2810,2890,28679.0634,29782.0519,3506.107376,559816.2454
TPSZ06,PEI CHUN,TOA PAYOH,11490,890,1220,1870,4580,2930,30814.3282,35440.9703,2901.789416,411403.9371
CKSZ04,PENG SIANG,CHOA CHU KANG,34340,3460,4350,8560,13110,4860,17462.292,40146.4113,4555.057953,862737.0908
JESZ10,PENJURU CRESCENT,JURONG EAST,0,0,0,0,0,0,17651.309,31799.6102,9876.049092,3049720.082
OTSZ02,PEOPLE'S PARK,OUTRAM,340,10,10,90,140,90,28831.7807,29419.6457,1822.192718,93140.43764
DTSZ04,PHILLIP,DOWNTOWN CORE,0,0,0,0,0,0,29706.7242,29744.9079,871.5548878,39437.93527
PNSZ05,PIONEER SECTOR,PIONEER,0,0,0,0,0,0,8872.7501,31423.4434,8489.982578,2796006.828
PLSZ05,PLAB,PAYA LEBAR,0,0,0,0,0,0,36691.9113,37730.7232,11966.01676,7034806.472
QTSZ15,PORT,QUEENSTOWN,140,0,20,40,50,30,21576.0765,28788.2172,23438.81854,7601893.995
TPSZ09,POTONG PASIR,TOA PAYOH,12420,920,1050,2390,4750,3310,31596.799,35028.1043,3496.881664,639143.5594
SLSZ02,PULAU PUNGGOL BARAT,SELETAR,0,0,0,0,0,0,33050.0976,45213.5347,6251.207796,2050051.225
SLSZ03,PULAU PUNGGOL TIMOR,SELETAR,0,0,0,0,0,0,34428.8491,44535.8977,4817.803706,1259743.113
SMSZ04,PULAU SELETAR,SIMPANG,0,0,0,0,0,0,31511.014,47245.3329,5466.048269,1611278.675
